vehicle_id,vehicle_color,vehicle_type,start_time,start_lane,end_time,end_lane,start_edge,end_edge
1,grey,car,0:01,N_4,0:01,SS_4,N,SS
2,grey,car,0:01,N_4,0:03,SS_4,N,SS
3,blue silver,car,0:02,N_4,0:04,SS_4,N,SS
4,white,car,0:03,N_4,0:05,SS_4,N,SS
5,grey,truck,0:04,N_4,0:05,SS_4,N,SS
6,white,car,0:05,N_4,0:06,SS_4,N,SS
7,grey,car,0:05,N_4,0:07,SS_4,N,SS
8,black,van,0:06,N_4,0:08,SS_4,N,SS
9,silver,car,0:09,N_4,0:10,SS_4,N,SS
10,dark grey,car,0:01,N_3,0:01,SS_3,N,SS
11,dark grey,car,0:01,N_3,0:02,SS_3,N,SS
12,white,truck,0:03,N_3,0:06,SS_3,N,SS
13,red,car,0:06,N_3,0:08,SS_3,N,SS
14,silver,car,0:07,N_3,0:08,SS_4,N,SS
15,black,van,0:08,N_3,0:09,SS_3,N,SS
16,black,van,0:08,N_3,0:10,SS_3,N,SS
17,black,van,0:09,N_3,0:11,SS_3,N,SS
18,silver,car,0:10,N_3,0:12,SS_3,N,SS
19,black,truck,0:11,N_3,0:13,SS_4,N,SS
20,black,car,0:14,N_3,0:15,SS_3,N,SS
21,white,truck,0:15,N_3,0:16,SS_2,N,SS
22,black,car,0:01,N_2,0:01,SS_2,N,SS
23,silver,truck,0:01,N_2,0:02,SS_2,N,SS
24,silver,car,0:02,N_2,0:03,SS_2,N,SS
25,white,car,0:03,N_2,0:05,SS_2,N,SS
26,silver,car,0:04,N_2,0:06,SS_2,N,SS
27,grey,car,0:05,N_2,0:06,SS_2,N,SS
28,grey,car,0:06,N_2,0:08,SS_2,N,SS
29,white,van,0:07,N_2,0:08,SS_2,N,SS
30,grey,car,0:08,N_2,0:10,SS_2,N,SS
31,gold,car,0:10,N_2,0:11,SS_2,N,SS
32,yellow,car,0:11,N_2,0:13,SS_2,N,SS
33,grey,van,0:12,N_2,0:13,SS_2,N,SS
