lane_id,edge,veh_id,best_time_shift_s,rmse_snorm,mean_time_deviation_s,obs_entry_s,obs_exit_s,n_points
E 1,E,188,-8.9,0.2576,0.22,22.0,23.0,11
E 1,E,189,-9.9,0.2576,0.22,23.0,24.0,11
E 1,E,190,-0.95,0.2056,0.186,41.0,42.0,11
E 1,E,191,-0.95,0.2056,0.186,45.0,46.0,11
E 1,E,192,-0.95,0.2039,0.181,46.0,47.0,11
E 1,E,193,-2.1,0.2315,0.197,48.0,49.0,11
E 1,E,194,-0.4,0.118,0.19,48.0,50.0,21
E 1,E,195,-2.3,0.2557,0.219,49.0,50.0,11
E 1,E,196,-3.9,0.2796,0.275,51.0,52.0,11
E 1,E,197,-5.0,0.2551,0.208,52.0,53.0,11
E 1,E,198,-5.95,0.2547,0.207,53.0,54.0,11
E 1,E,199,-6.25,0.2388,0.195,55.0,56.0,11
E 1,E,200,-8.15,0.2439,0.211,55.0,56.0,11
E 1,E,201,-9.0,0.2514,0.235,56.0,57.0,11
E 1,E,202,-9.95,0.2535,0.202,57.0,58.0,11
E 1,E,203,-10.9,0.2576,0.22,58.0,59.0,11
E 1,E,204,-12.9,0.2576,0.22,58.0,59.0,11
E 1,E,205,-13.9,0.2576,0.22,59.0,60.0,11
E 1,E,206,-15.9,0.2576,0.22,59.0,60.0,11
E 1,E,70,-0.95,0.2056,0.186,5.0,6.0,11
E 1,E,71,-0.85,0.1991,0.17,7.0,8.0,11
E 1,E,72,-1.05,0.2131,0.178,8.0,9.0,11
E 1,E,73,-1.25,0.2324,0.192,9.0,10.0,11
E 1,E,74,-1.15,0.2417,0.203,12.0,13.0,11
E 1,E,75,-1.85,0.259,0.227,13.0,14.0,11
E 1,E,76,-2.85,0.261,0.236,14.0,15.0,11
E 1,E,77,-3.9,0.2576,0.22,15.0,16.0,11
E 1,E,78,-4.9,0.2576,0.22,16.0,17.0,11
E 1,E,79,-5.9,0.2576,0.22,17.0,18.0,11
E 1,E,80,-5.9,0.2576,0.22,19.0,20.0,11
E 2,E,109,20.0,0.146,4.441,2.0,44.0,220
E 2,E,270,-0.9,0.2117,0.177,46.0,47.0,11
E 2,E,271,-1.15,0.231,0.194,47.0,48.0,11
E 3,E,97,20.0,0.28,8.162,2.0,46.0,220
E 4,E,253,-1.4,0.3745,,53.0,54.0,11
E 4,E,92,20.0,0.2548,8.51,2.0,44.0,220
E 4,E,93,20.0,0.1469,5.038,3.0,46.0,230
E 4,E,94,18.0,0.1441,4.469,4.0,46.0,240
E 5,E,244,-1.0,0.2076,0.169,35.0,36.0,11
E 5,E,245,-1.1,0.2062,0.168,36.0,37.0,11
E 5,E,247,-1.9,0.2268,0.19,37.0,38.0,11
E 5,E,89,13.8,0.147,2.268,3.0,33.0,162
E 6,E,239,-0.6,0.1204,0.184,35.0,37.0,21
E 6,E,240,-2.0,0.2567,0.21,37.0,38.0,11
E 6,E,85,15.0,0.1433,2.636,3.0,33.0,150
N 1,N,179,-0.3,0.1449,0.1,21.0,22.0,11
N 1,N,180,-0.3,0.1449,0.1,28.0,29.0,11
N 1,N,181,-0.3,0.1415,0.096,32.0,33.0,11
N 1,N,182,-0.4,0.1832,0.123,34.0,35.0,11
N 1,N,183,-0.6,0.2685,0.155,36.0,37.0,11
N 1,N,184,-0.45,0.1568,0.134,41.0,42.0,11
N 1,N,38,-0.3,0.1449,0.1,7.0,8.0,11
N 1,N,39,-0.3,0.1449,0.1,13.0,14.0,11
N 1,N,40,-0.4,0.1562,0.128,15.0,16.0,11
N 2,N,26,-2.05,0.0219,0.037,4.0,6.0,20
N 2,N,30,-3.35,0.1657,0.182,8.0,10.0,21
N 3,N,12,-0.65,0.0996,0.168,3.0,6.0,20
N 3,N,16,-3.35,0.1657,0.182,8.0,10.0,21
N 3,N,19,-3.9,0.5748,,11.0,13.0,21
N 4,N,2,-0.5,0.1458,0.125,1.0,3.0,10
N 4,N,5,-0.65,0.1479,0.116,4.0,5.0,11
N 4,N,7,-1.05,0.0219,0.037,5.0,7.0,20
N 5,N,51,0.5,0.1458,0.125,8.0,10.0,10
N 5,N,52,0.45,0.0965,0.163,9.0,12.0,20
N 5,N,56,-0.55,0.2164,0.205,13.0,15.0,21
N 5,N,58,-4.3,0.1766,0.243,16.0,18.0,21
N 5,N,59,-4.85,0.2344,0.121,17.0,19.0,21
N 6,N,42,0.5,0.1458,0.125,8.0,10.0,10
N 6,N,43,0.1,0.0232,0.036,9.0,11.0,19
N 6,N,47,-4.45,0.0793,0.099,15.0,17.0,21
N 6,N,48,-4.3,0.1621,0.192,17.0,19.0,21
N 6,N,49,-4.7,0.3379,0.292,18.0,20.0,21
S 1,S,208,-0.35,0.1509,0.115,28.0,29.0,11
S 1,S,209,-0.35,0.1479,0.112,30.0,31.0,11
S 1,S,210,0.05,0.0191,0.032,32.0,34.0,20
S 1,S,211,-0.4,0.1553,0.128,36.0,37.0,11
S 1,S,212,-0.3,0.1443,0.099,38.0,39.0,11
S 1,S,69,-0.35,0.1509,0.115,1.0,2.0,11
S 2,S,67,-0.55,0.1566,0.135,3.0,4.0,11
W 1,W,100,-0.85,0.2008,0.174,4.0,5.0,11
W 1,W,101,-1.05,0.2168,0.186,5.0,6.0,11
W 1,W,102,-0.95,0.231,0.202,7.0,8.0,11
W 1,W,103,-1.25,0.2565,0.187,8.0,9.0,11
W 1,W,104,-0.9,0.2035,0.181,18.0,19.0,11
W 1,W,105,-0.85,0.2008,0.174,20.0,21.0,11
W 1,W,106,-0.9,0.2035,0.181,25.0,26.0,11
W 1,W,107,-0.85,0.2008,0.174,27.0,28.0,11
W 1,W,108,-1.05,0.2168,0.186,28.0,29.0,11
W 1,W,133,-0.95,0.231,0.202,30.0,31.0,11
W 1,W,134,-1.15,0.2413,0.201,32.0,33.0,11
W 1,W,135,-1.25,0.2359,0.218,34.0,35.0,11
W 1,W,136,-0.9,0.2035,0.181,55.0,56.0,11
W 1,W,99,-0.9,0.2035,0.181,2.0,3.0,11
W 3,W,158,-1.8,0.5076,,47.0,48.0,11
W 4,W,122,-0.4,0.1078,0.163,42.0,44.0,21
W 4,W,143,-0.55,0.2327,0.243,46.0,48.0,21
W 5,W,118,0.5,0.0965,0.162,29.0,32.0,20
W 5,W,120,0.0,0.0112,0.025,32.0,35.0,30
W 5,W,121,-0.25,0.0446,0.093,33.0,36.0,31
W 5,W,140,-0.9,0.1827,0.272,36.0,38.0,21
W 5,W,142,0.0,0.0,0.0,57.0,59.0,20
W 6,W,113,-0.35,0.0877,0.132,29.0,31.0,21
W 6,W,115,-0.05,0.0575,0.085,32.0,35.0,31
W 6,W,116,-0.65,0.1558,0.208,33.0,35.0,21
W 6,W,137,-0.5,0.1581,0.136,58.0,59.0,11
