vehicle_id,time_s,x_m,y_m
1,1.0,-21.7,45.03
11,1.0,-24.9,45.03
23,1.0,-28.1,45.03
60,1.0,-8.01,-41.27
62,1.0,-4.81,-41.3
65,1.0,-1.61,-41.32
69,1.0,1.59,-41.34
83,1.0,47.14,1.0
96,1.0,47.19,10.6
1,1.1,-21.7,45.0
11,1.1,-24.9,45.0
23,1.1,-28.1,45.0
60,1.1,-8.01,-41.24
62,1.1,-4.81,-41.27
65,1.1,-1.61,-41.29
69,1.1,1.59,-41.31
83,1.1,47.11,1.01
96,1.1,47.17,10.61
1,1.2,-21.7,44.95
11,1.2,-24.9,44.95
23,1.2,-28.1,44.95
60,1.2,-8.01,-41.19
62,1.2,-4.81,-41.22
65,1.2,-1.61,-41.24
69,1.2,1.59,-41.26
83,1.2,47.06,1.01
96,1.2,47.11,10.61
1,1.3,-21.7,44.87
11,1.3,-24.9,44.87
23,1.3,-28.1,44.87
60,1.3,-8.01,-41.11
62,1.3,-4.81,-41.14
65,1.3,-1.61,-41.16
69,1.3,1.59,-41.18
83,1.3,46.98,1.01
96,1.3,47.04,10.61
1,1.4,-21.7,44.77
11,1.4,-24.9,44.77
23,1.4,-28.1,44.77
60,1.4,-8.01,-41.01
62,1.4,-4.81,-41.04
65,1.4,-1.61,-41.06
69,1.4,1.59,-41.08
83,1.4,46.88,1.01
96,1.4,46.93,10.61
1,1.5,-21.7,44.64
11,1.5,-24.9,44.64
23,1.5,-28.1,44.64
60,1.5,-8.01,-40.88
62,1.5,-4.81,-40.91
65,1.5,-1.61,-40.93
69,1.5,1.59,-40.95
83,1.5,46.75,1.01
96,1.5,46.8,10.61
1,1.6,-21.7,44.48
11,1.6,-24.9,44.48
23,1.6,-28.1,44.48
60,1.6,-8.01,-40.72
62,1.6,-4.81,-40.75
65,1.6,-1.61,-40.77
69,1.6,1.59,-40.79
83,1.6,46.59,1.01
96,1.6,46.65,10.61
1,1.7,-21.7,44.3
11,1.7,-24.9,44.3
23,1.7,-28.1,44.3
60,1.7,-8.01,-40.54
62,1.7,-4.81,-40.57
65,1.7,-1.61,-40.59
69,1.7,1.59,-40.61
83,1.7,46.41,1.01
96,1.7,46.46,10.61
1,1.8,-21.7,44.09
11,1.8,-24.9,44.09
23,1.8,-28.1,44.09
60,1.8,-8.01,-40.33
62,1.8,-4.81,-40.36
65,1.8,-1.61,-40.38
69,1.8,1.59,-40.4
83,1.8,46.2,1.01
96,1.8,46.26,10.61
1,1.9,-21.7,43.86
11,1.9,-24.9,43.86
23,1.9,-28.1,43.86
60,1.9,-8.01,-40.1
62,1.9,-4.81,-40.13
65,1.9,-1.61,-40.15
69,1.9,1.59,-40.17
83,1.9,45.97,1.01
96,1.9,46.02,10.61
1,2.0,-21.7,43.6
109,2.0,47.21,13.8
11,2.0,-24.9,43.6
23,2.0,-28.1,43.6
60,2.0,-8.0,-39.84
62,2.0,-4.8,-39.87
65,2.0,-1.6,-39.89
69,2.0,1.6,-39.91
83,2.0,45.71,1.01
88,2.0,47.16,4.2
92,2.0,47.17,7.4
96,2.0,45.76,10.61
99,2.0,-76.56,-11.62
1,2.1,-21.7,43.31
109,2.1,47.18,13.81
11,2.1,-24.9,43.31
23,2.1,-28.1,43.31
60,2.1,-8.0,-39.55
62,2.1,-4.8,-39.58
65,2.1,-1.6,-39.6
69,2.1,1.6,-39.62
83,2.1,45.42,1.01
88,2.1,47.13,4.21
92,2.1,47.15,7.41
96,2.1,45.48,10.61
99,2.1,-76.53,-11.62
1,2.2,-21.7,43.0
109,2.2,47.13,13.81
11,2.2,-24.9,43.0
23,2.2,-28.1,43.0
60,2.2,-8.0,-39.24
62,2.2,-4.8,-39.27
65,2.2,-1.6,-39.29
69,2.2,1.6,-39.31
83,2.2,45.11,1.02
88,2.2,47.08,4.21
92,2.2,47.09,7.41
96,2.2,45.16,10.62
99,2.2,-76.48,-11.62
1,2.3,-21.7,42.66
109,2.3,47.05,13.81
11,2.3,-24.9,42.66
23,2.3,-28.1,42.66
60,2.3,-8.0,-38.9
62,2.3,-4.8,-38.93
65,2.3,-1.6,-38.95
69,2.3,1.6,-38.97
83,2.3,44.77,1.02
88,2.3,47.0,4.21
92,2.3,47.02,7.41
96,2.3,44.83,10.62
99,2.3,-76.4,-11.62
1,2.4,-21.7,42.3
109,2.4,46.95,13.81
11,2.4,-24.9,42.3
23,2.4,-28.1,42.3
60,2.4,-7.99,-38.54
62,2.4,-4.79,-38.57
65,2.4,-1.59,-38.59
69,2.4,1.61,-38.61
83,2.4,44.41,1.02
88,2.4,46.9,4.21
92,2.4,46.91,7.41
96,2.4,44.46,10.62
99,2.4,-76.3,-11.62
1,2.5,-21.7,41.91
109,2.5,46.82,13.81
11,2.5,-24.9,41.91
23,2.5,-28.1,41.91
60,2.5,-7.99,-38.15
62,2.5,-4.79,-38.18
65,2.5,-1.59,-38.2
69,2.5,1.61,-38.22
83,2.5,44.02,1.02
88,2.5,46.77,4.21
92,2.5,46.78,7.41
96,2.5,44.07,10.62
